label,text,length,cleaned_text
ham,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat ,111,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
ham,ok lar joking wif u oni ,29,ok lar joke wif u oni
spam,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry question std txt rate t c s apply over s,155,free entri wkli comp win fa cup final tkt st may text fa receiv entri question std txt rate c appli
ham,u dun say so early hor u c already then say ,49,u dun say earli hor u c alreadi say
ham,nah i don t think he goes to usf he lives around here though,61,nah think goe usf live around though
spam,freemsg hey there darling it s been week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send å to rcv,148,freemsg hey darl week word back like fun still tb ok xxx std chg send å rcv
ham,even my brother is not like to speak with me they treat me like aids patent ,77,even brother like speak treat like aid patent
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,160,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
spam,winner as a valued network customer you have been selected to receivea å prize reward to claim call claim code kl valid hours only ,158,winner valu network custom select receivea å prize reward claim call claim code kl valid hour
spam,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on ,154,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free
ham,i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today ,109,gonna home soon want talk stuff anymor tonight k cri enough today
spam,six chances to win cash from to pounds txt csh and send to cost p day days tsandcs apply reply hl info,136,six chanc win cash pound txt csh send cost p day day tsandc appli repli hl info
spam,urgent you have won a week free membership in our å prize jackpot txt the word claim to no t c www dbuk net lccltd pobox ldnw a rw ,156,urgent week free membership å prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw
ham,i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times ,196,search right word thank breather promis wont take help grant fulfil promis wonder bless time
ham,i have a date on sunday with will ,35,date sunday
spam,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here http wap xxxmobilemovieclub com n qjkgighjjgcbl,149,xxxmobilemovieclub use credit click wap link next txt messag click http wap xxxmobilemovieclub com n qjkgighjjgcbl
ham,oh k i m watching here ,26,oh k watch
ham,eh u remember how spell his name yes i did he v naughty make until i v wet ,81,eh u rememb spell name ye v naughti make v wet
ham,fine if thatåõs the way u feel thatåõs the way its gota b,58,fine thatåõ way u feel thatåõ way gota b
spam,england v macedonia dont miss the goals team news txt ur national team to eg england to try wales scotland txt ì¼ poboxox w wq ,156,england v macedonia dont miss goal team news txt ur nation team eg england tri wale scotland txt ì¼ poboxox w wq
ham,is that seriously how you spell his name ,41,serious spell name
ham,i û m going to try for months ha ha only joking,49,û go tri month ha ha joke
ham,so ì pay first lar then when is da stock comin ,53,ì pay first lar da stock comin
ham,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already ,88,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi
ham,ffffffffff alright no way i can meet up with you sooner ,57,ffffffffff alright way meet sooner
ham,just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol,144,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol
ham,lol your always so convincing ,30,lol alway convinc
ham,did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love ,134,catch bu fri egg make tea eat mom left dinner feel love
ham,i m back amp we re packing the car now i ll let you know if there s room,75,back amp pack car let know room
ham,ahhh work i vaguely remember that what does it feel like lol,64,ahhh work vagu rememb feel like lol
ham,wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us,130,wait still clear sure sarcast x want live us
ham,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we won t go there not doing too badly cheers you ,189,yeah got v apologet n fallen actin like spoilt child got caught till go badli cheer
ham,k tell me anything about you ,29,k tell anyth
ham,for fear of fainting with the of all that housework you just did quick have a cuppa,84,fear faint housework quick cuppa
spam,thanks for your subscription to ringtone uk your mobile will be charged å month please confirm by replying yes or no if you reply no you will not be charged,159,thank subscript rington uk mobil charg å month pleas confirm repli ye repli charg
ham,yup ok i go home look at the timings then i msg ì again xuhui going to learn on nd may too but her lesson is at am,123,yup ok go home look time msg ì xuhui go learn nd may lesson
ham,oops i ll let you know when my roommate s done,47,oop let know roommat done
ham,i see the letter b on my car,28,see letter b car
ham,anything lor u decide ,27,anyth lor u decid
ham,hello how s you and how did saturday go i was just texting to see if you d decided to do anything tomo not that i m trying to invite myself or anything ,155,hello saturday go text see decid anyth tomo tri invit anyth
ham,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,82,pl go ahead watt want sure great weekend abiola
ham,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,142,forget tell want need crave love sweet arabian steed mmmmmm yummi
spam, rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow,172,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow
ham,who are you seeing ,19,see
ham,great i hope you like your man well endowed i am lt gt inches ,72,great hope like man well endow lt gt inch
ham,no calls messages missed calls,32,call messag miss call
ham,didn t you get hep b immunisation in nigeria ,45,get hep b immunis nigeria
ham,fair enough anything going on ,31,fair enough anyth go
ham,yeah hopefully if tyler can t do it i could maybe ask around a bit,67,yeah hope tyler could mayb ask around bit
ham,u don t know how stubborn i am i didn t even want to go to the hospital i kept telling mark i m not a weak sucker hospitals are for weak suckers ,148,u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker
ham,what you thinked about me first time you saw me in class ,58,think first time saw class
ham,a gram usually runs like lt gt a half eighth is smarter though and gets you almost a whole second gram for lt gt ,124,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt
ham,k fyi x has a ride early tomorrow morning but he s crashing at our place tonight,80,k fyi x ride earli tomorrow morn crash place tonight
ham,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave i m sorry i didn t and don t have more to give i m sorry i offered i m sorry your room was so embarassing ,291,wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass
spam,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,120,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
ham,do you know what mallika sherawat did yesterday find out now lt url gt ,76,know mallika sherawat yesterday find lt url gt
spam,congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bx ip we pm dont miss out ,161,congrat year special cinema pass call c suprman v matrix starwar etc free bx ip pm dont miss
ham,sorry i ll call later in meeting ,34,sorri call later meet
ham,tell where you reached,22,tell reach
ham,yes gauti and sehwag out of odi series ,40,ye gauti sehwag odi seri
ham,your gonna have to pick up a burger for yourself on your way home i can t even move pain is killing me ,108,gonna pick burger way home even move pain kill
ham,ha ha ha good joke girls are situation seekers ,48,ha ha ha good joke girl situat seeker
ham,its a part of checking iq,25,part check iq
ham,sorry my roommates took forever it ok if i come by now ,56,sorri roommat took forev ok come
ham,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice ,110,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
spam,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a å bonus prize call ,153,valu custom pleas advis follow recent review mob award å bonu prize call
ham,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me ,124,today song dedic day song u dedic send ur valuabl frnd first rpli
spam,urgent ur awarded a complimentary trip to eurodisinc trav aco entry or å to claim txt dis to å morefrmmob shracomorsglsuplt ls aj,161,urgent ur award complimentari trip eurodisinc trav aco entri å claim txt di å morefrmmob shracomorsglsuplt ls aj
spam,did you hear about the new divorce barbie it comes with all of ken s stuff ,80,hear new divorc barbi come ken stuff
ham,i plane to give on this month end ,34,plane give month end
ham,wah lucky man then can save money hee ,46,wah lucki man save money hee
ham,finished class where are you ,29,finish class
ham,hi babe im at home now wanna do something xx,45,hi babe im home wanna someth xx
ham,k k where are you how did you performed ,42,k k perform
ham,u can call me now ,20,u call
ham,i am waiting machan call me once you free ,43,wait machan call free
ham,thats cool i am a gentleman and will treat you with dignity and respect ,73,that cool gentleman treat digniti respect
ham,i like you peoples very much but am very shy pa ,50,like peopl much shi pa
ham,does not operate after lt gt or what,42,oper lt gt
ham,its not the same here still looking for a job how much do ta s earn there ,76,still look job much ta earn
ham,sorry i ll call later,22,sorri call later
ham,k did you call me just now ah ,32,k call ah
ham,ok i am on the way to home hi hi,32,ok way home hi hi
ham,you will be in the place of that man,36,place man
ham,yup next stop ,14,yup next stop
ham,i call you later don t have network if urgnt sms me ,55,call later network urgnt sm
ham,for real when u getting on yo i only need more tickets and one more jacket and i m done i already used all my multis ,121,real u get yo need ticket one jacket done alreadi use multi
ham,yes i started to send requests to make it but pain came back so i m back in bed double coins at the factory too i gotta cash in all my nitros ,144,ye start send request make pain came back back bed doubl coin factori gotta cash nitro
ham,i m really not up to it still tonight babe,42,realli still tonight babe
ham,ela kano il download come wen ur free ,41,ela kano il download come wen ur free
ham,yeah do don û t stand to close tho you û ll catch something ,62,yeah û stand close tho û catch someth
ham,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven t done any of y stuff moro and that includes all my time sheets and that sorry ,195,sorri pain ok meet anoth night spent late afternoon casualti mean done stuff moro includ time sheet sorri
ham,smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling ,141,smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile
spam,please call our customer service representative on between am pm as you have won a guaranteed å cash or å prize ,139,pleas call custom servic repres pm guarante å cash å prize
